team,1930,1934,1938,1950,1954,1958,1962,1966,1970,1974,1978,1982,1986,1990,1994,1998,2002,2006,2010,2014,2018,2022,code,country,confederation,url
Denmark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,19.0,24.0,24.0,27.0,27.0,30.0,31.0,DEN,Denmark,UEFA,https://countryflagsapi.com/png/denmark
Ecuador,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,7.0,10.0,10.0,14.0,ECU,Ecuador,CONMEBOL,https://countryflagsapi.com/png/ecuador
Egypt,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,EGY,Egypt,CAF,https://countryflagsapi.com/png/egypt
El Salvador,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,ESA,El Salvador,CONCACF,https://countryflagsapi.com/png/el%20salvador
England,0.0,0.0,0.0,2.0,10.0,14.0,19.0,30.0,34.0,34.0,34.0,40.0,47.0,55.0,55.0,62.0,68.0,74.0,77.0,79.0,91.0,103.0,ENG,England,UEFA,https://countryflagsapi.com/png/england
France,4.0,6.0,10.0,10.0,13.0,36.0,36.0,38.0,38.0,38.0,43.0,59.0,71.0,71.0,71.0,86.0,86.0,95.0,96.0,106.0,120.0,129.0,FRA,France,UEFA,https://countryflagsapi.com/png/france
German DR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,
Germany,0.0,11.0,14.0,14.0,39.0,51.0,55.0,70.0,87.0,100.0,110.0,122.0,130.0,145.0,154.0,162.0,176.0,190.0,206.0,224.0,226.0,232.0,GER,Germany,UEFA,https://countryflagsapi.com/png/germany
Ghana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,13.0,13.0,18.0,GHA,Ghana,CAF,https://countryflagsapi.com/png/ghana
Greece,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,5.0,5.0,GRE,Greece,UEFA,https://countryflagsapi.com/png/greece
Haiti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,HAI,Haiti,CONCACF,https://countryflagsapi.com/png/haiti
Honduras,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,HON,Honduras,CONCACF,https://countryflagsapi.com/png/honduras
Hungary,0.0,5.0,20.0,20.0,47.0,54.0,62.0,70.0,70.0,70.0,73.0,85.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,HUN,Hungary,UEFA,https://countryflagsapi.com/png/hungary
Iceland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,ISL,Iceland,UEFA,https://countryflagsapi.com/png/iceland
Indonesia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,INA,Indonesia,AFC,https://countryflagsapi.com/png/indonesia
Iran,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,6.0,6.0,7.0,9.0,13.0,,,,
Iraq,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,IRQ,Iraq,AFC,https://countryflagsapi.com/png/iraq
Israel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,ISR,Israel,UEFA,https://countryflagsapi.com/png/israel
Italy,0.0,12.0,23.0,27.0,33.0,33.0,36.0,38.0,48.0,53.0,62.0,74.0,79.0,89.0,97.0,105.0,110.0,122.0,126.0,128.0,128.0,128.0,ITA,Italy,UEFA,https://countryflagsapi.com/png/italy
Ivory Coast,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,9.0,13.0,13.0,13.0,,,,
Jamaica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,JAM,Jamaica,CONCACF,https://countryflagsapi.com/png/jamaica
Japan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,8.0,12.0,14.0,20.0,25.0,JPN,Japan,AFC,https://countryflagsapi.com/png/japan
Kuwait,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,KUW,Kuwait,AFC,https://countryflagsapi.com/png/kuwait
Mexico,4.0,4.0,4.0,6.0,8.0,9.0,12.0,13.0,19.0,19.0,21.0,21.0,27.0,27.0,31.0,39.0,43.0,48.0,52.0,57.0,60.0,62.0,MEX,Mexico,CONCACF,https://countryflagsapi.com/png/mexico
Morocco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,5.0,5.0,7.0,12.0,12.0,12.0,12.0,12.0,14.0,18.0,MAR,Morocco,CAF,https://countryflagsapi.com/png/morocco
Netherlands,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,17.0,32.0,32.0,32.0,35.0,43.0,56.0,56.0,59.0,71.0,86.0,86.0,94.0,NED,Netherlands,UEFA,https://countryflagsapi.com/png/netherlands
New Zealand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,NZL,New Zealand,OFC,https://countryflagsapi.com/png/new%20zealand
Nigeria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,13.0,14.0,14.0,17.0,20.0,23.0,23.0,NGR,Nigeria,CAF,https://countryflagsapi.com/png/nigeria
North Korea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,,,,
Northern Ireland,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,11.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,NIR,Northern Ireland,UEFA,https://countryflagsapi.com/png/northern%20ireland
Norway,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,NOR,Norway,UEFA,https://countryflagsapi.com/png/norway
Panama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,PAN,Panama,CONCACF,https://countryflagsapi.com/png/panama
Paraguay,1.0,1.0,1.0,3.0,3.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,16.0,16.0,16.0,19.0,25.0,27.0,30.0,30.0,30.0,30.0,PAR,Paraguay,CONMEBOL,https://countryflagsapi.com/png/paraguay
Peru,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,10.0,17.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,21.0,21.0,PER,Peru,CONMEBOL,https://countryflagsapi.com/png/peru
Poland,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,21.0,27.0,38.0,39.0,39.0,39.0,39.0,42.0,44.0,44.0,44.0,46.0,49.0,POL,Poland,UEFA,https://countryflagsapi.com/png/poland
Portugal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,17.0,17.0,17.0,17.0,19.0,19.0,19.0,19.0,25.0,32.0,39.0,43.0,49.0,61.0,POR,Portugal,UEFA,https://countryflagsapi.com/png/portugal
Qatar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,QAT,Qatar,AFC,https://countryflagsapi.com/png/qatar
Republic of Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,4.0,10.0,10.0,10.0,10.0,10.0,10.0,,,,
Romania,3.0,4.0,8.0,8.0,8.0,8.0,8.0,8.0,12.0,12.0,12.0,12.0,12.0,16.0,26.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,ROM,Romania,UEFA,https://countryflagsapi.com/png/romania
Russia,0.0,0.0,0.0,0.0,0.0,5.0,14.0,24.0,30.0,30.0,30.0,37.0,49.0,53.0,60.0,60.0,64.0,64.0,64.0,66.0,77.0,77.0,,,,
Saudi Arabia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,7.0,9.0,9.0,9.0,11.0,14.0,KSA,Saudi Arabia,AFC,https://countryflagsapi.com/png/saudi%20arabia
Scotland,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,7.0,12.0,20.0,21.0,23.0,23.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,SCO,Scotland,UEFA,https://countryflagsapi.com/png/scotland
Senegal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,11.0,16.0,SEN,Senegal,CAF,https://countryflagsapi.com/png/senegal
Serbia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,7.0,9.0,9.0,11.0,16.0,SRB,Serbia,UEFA,https://countryflagsapi.com/png/serbia
Slovakia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,SVK,Slovakia,UEFA,https://countryflagsapi.com/png/slovakia
Slovenia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,5.0,5.0,5.0,5.0,SLO,Slovenia,UEFA,https://countryflagsapi.com/png/slovenia
